# time  ID  size  fromHost  toHost  TTL  isResponse
92.0000 M1 968834 p14 c38 n/a N 
168.0000 M2 477273 p1 p10 n/a N 
214.0000 M3 618122 w73 c31 n/a N 
282.0000 M4 123257 w69 w71 n/a N 
379.0000 M5 274671 c54 p1 n/a N 
485.0000 M6 911032 t83 p15 n/a N 
528.0000 M7 912010 p21 p3 n/a N 
563.0000 M8 113877 c47 w73 n/a N 
680.0000 M9 137686 p1 t93 n/a N 
791.0000 M10 963541 p0 w73 n/a N 
910.0000 M11 212047 c40 p13 n/a N 
950.0000 M12 395086 p27 t87 n/a N 
1024.0000 M13 643107 w71 c48 n/a N 
1120.0000 M14 620934 w71 t91 n/a N 
1156.0000 M15 441397 w72 t91 n/a N 
1264.0000 M16 975016 w65 p29 n/a N 
1303.0000 M17 740517 p2 c53 n/a N 
1398.0000 M18 590222 t90 p15 n/a N 
1442.0000 M19 180040 w63 p16 n/a N 
1497.0000 M20 923543 t80 c31 n/a N 
1539.0000 M21 219301 p5 p13 n/a N 
1600.0000 M22 404050 c52 w73 n/a N 
1689.0000 M23 905510 c40 p14 n/a N 
1743.0000 M24 459729 t82 t86 n/a N 
1830.0000 M25 932211 p9 p26 n/a N 
1912.0000 M26 746679 t83 p20 n/a N 
1955.0000 M27 657738 p14 p17 n/a N 
2028.0000 M28 277290 p13 t99 n/a N 
2072.0000 M29 589593 t90 p25 n/a N 
2116.0000 M30 378625 c54 t83 n/a N 
2183.0000 M31 698641 t89 c45 n/a N 
2250.0000 M32 731670 c52 t98 n/a N 
2361.0000 M33 929461 w74 w75 n/a N 
2442.0000 M34 94772 c30 w56 n/a N 
2495.0000 M35 698232 c51 c31 n/a N 
2605.0000 M36 662761 p14 p11 n/a N 
2672.0000 M37 837538 t92 w56 n/a N 
2791.0000 M38 448725 p16 c30 n/a N 
2824.0000 M39 883915 t92 c48 n/a N 
2919.0000 M40 722441 p1 w64 n/a N 
2991.0000 M41 938158 p6 p21 n/a N 
3019.0000 M42 289225 t88 c36 n/a N 
3056.0000 M43 796711 c52 w79 n/a N 
3108.0000 M44 168074 w66 p27 n/a N 
3160.0000 M45 956581 t87 c50 n/a N 
3263.0000 M46 736051 p7 t99 n/a N 
3331.0000 M47 84776 t80 p22 n/a N 
3422.0000 M48 834863 w67 c48 n/a N 
3450.0000 M49 205987 w60 w79 n/a N 
3543.0000 M50 326458 c33 p26 n/a N 
3658.0000 M51 97770 t80 c53 n/a N 
3770.0000 M52 891919 t94 w56 n/a N 
3856.0000 M53 83685 w77 t86 n/a N 
3932.0000 M54 503264 w67 p29 n/a N 
3986.0000 M55 278171 w77 c40 n/a N 
4072.0000 M56 782957 t82 w58 n/a N 
4152.0000 M57 551479 w68 c46 n/a N 
4239.0000 M58 387610 c37 w76 n/a N 
4344.0000 M59 462758 p24 p20 n/a N 
4406.0000 M60 899278 w79 p29 n/a N 
4521.0000 M61 124679 w60 w69 n/a N 
4597.0000 M62 214734 p4 c48 n/a N 
4691.0000 M63 620569 p28 t90 n/a N 
4778.0000 M64 396950 c52 w62 n/a N 
4857.0000 M65 240287 c54 c42 n/a N 
4938.0000 M66 528271 p4 c37 n/a N 
4987.0000 M67 435199 c50 p29 n/a N 
5032.0000 M68 110233 w62 t82 n/a N 
5149.0000 M69 849614 p19 t83 n/a N 
5178.0000 M70 275299 c37 p24 n/a N 
5257.0000 M71 690133 t88 p24 n/a N 
5367.0000 M72 266893 t83 c53 n/a N 
5473.0000 M73 317791 p15 c30 n/a N 
5584.0000 M74 225916 w57 t81 n/a N 
5634.0000 M75 816248 w60 p0 n/a N 
5747.0000 M76 465606 w66 c47 n/a N 
5829.0000 M77 880783 p23 w71 n/a N 
5894.0000 M78 557377 w79 t85 n/a N 
5968.0000 M79 329028 c45 w77 n/a N 
5993.0000 M80 981176 t80 w62 n/a N 
6096.0000 M81 787978 c38 c43 n/a N 
6153.0000 M82 735912 t85 w77 n/a N 
6230.0000 M83 969743 p16 w65 n/a N 
6345.0000 M84 445447 p4 w75 n/a N 
6401.0000 M85 871486 p6 c49 n/a N 
6443.0000 M86 467043 t91 p22 n/a N 
6506.0000 M87 290325 p9 p21 n/a N 
6560.0000 M88 357095 w60 p17 n/a N 
6648.0000 M89 616020 p9 c36 n/a N 
6714.0000 M90 863625 c47 t94 n/a N 
6827.0000 M91 870835 c46 t96 n/a N 
6899.0000 M92 749189 t89 c38 n/a N 
6932.0000 M93 992981 w63 t89 n/a N 
7048.0000 M94 655764 t87 w56 n/a N 
7128.0000 M95 363385 c42 w77 n/a N 
7204.0000 M96 721242 w65 w74 n/a N 
7232.0000 M97 195414 w60 c35 n/a N 
7311.0000 M98 377857 c41 c31 n/a N 
7373.0000 M99 454668 w78 t94 n/a N 
7453.0000 M100 571584 p7 t90 n/a N 
7540.0000 M101 127479 c32 t82 n/a N 
7567.0000 M102 575032 w63 p1 n/a N 
7594.0000 M103 452605 w66 t87 n/a N 
7692.0000 M104 830082 t96 c34 n/a N 
7763.0000 M105 494700 c35 p16 n/a N 
7823.0000 M106 517044 p21 t89 n/a N 
7912.0000 M107 651567 w75 w65 n/a N 
7967.0000 M108 980235 w65 c51 n/a N 
8044.0000 M109 822600 c39 t89 n/a N 
8096.0000 M110 939088 w77 c39 n/a N 
8127.0000 M111 574532 t85 p12 n/a N 
8200.0000 M112 302005 w62 c53 n/a N 
8253.0000 M113 217772 p2 w69 n/a N 
8307.0000 M114 235174 c37 w70 n/a N 
8373.0000 M115 353632 t98 c49 n/a N 
8448.0000 M116 572891 p2 w64 n/a N 
8477.0000 M117 438091 p16 p18 n/a N 
8553.0000 M118 837394 p0 t80 n/a N 
8632.0000 M119 918212 c37 c40 n/a N 
8740.0000 M120 432182 w57 c42 n/a N 
8784.0000 M121 237656 c51 p26 n/a N 
8839.0000 M122 956381 c52 t87 n/a N 
8906.0000 M123 110979 c47 w69 n/a N 
8945.0000 M124 802195 c36 c39 n/a N 
9057.0000 M125 267958 p24 c51 n/a N 
9159.0000 M126 248385 w68 c43 n/a N 
9254.0000 M127 575887 t96 p2 n/a N 
9334.0000 M128 583370 c51 w55 n/a N 
9384.0000 M129 472566 w72 w78 n/a N 
9466.0000 M130 456906 t99 p4 n/a N 
9499.0000 M131 266636 p13 t86 n/a N 
9524.0000 M132 255095 p11 p15 n/a N 
9549.0000 M133 647510 w59 t85 n/a N 
9588.0000 M134 506402 p26 w76 n/a N 
9705.0000 M135 57726 p14 t81 n/a N 
9820.0000 M136 90381 p12 p0 n/a N 
9848.0000 M137 512164 t80 p8 n/a N 
9889.0000 M138 254869 w67 p14 n/a N 
9915.0000 M139 949721 c46 w64 n/a N 
9950.0000 M140 806425 t96 w72 n/a N 
10038.0000 M141 827224 p16 c42 n/a N 
10094.0000 M142 703888 t80 p24 n/a N 
10202.0000 M143 188952 p10 t89 n/a N 
10272.0000 M144 353328 p13 p17 n/a N 
10322.0000 M145 608889 w56 t90 n/a N 
10424.0000 M146 70195 w63 w78 n/a N 
10453.0000 M147 816611 t91 t85 n/a N 
10553.0000 M148 901201 p9 t90 n/a N 
10630.0000 M149 330540 t95 t91 n/a N 
10709.0000 M150 522058 p15 t85 n/a N 
10768.0000 M151 153168 t81 w62 n/a N 
10836.0000 M152 747931 c52 t89 n/a N 
10871.0000 M153 364568 p8 w76 n/a N 
10985.0000 M154 68614 w67 w61 n/a N 
11042.0000 M155 952374 c49 w79 n/a N 
11096.0000 M156 525404 t99 w77 n/a N 
11156.0000 M157 587077 t89 c49 n/a N 
11221.0000 M158 689972 c32 w74 n/a N 
11315.0000 M159 382907 t92 p13 n/a N 
11367.0000 M160 433122 t89 c34 n/a N 
